participant_index,ResponseId,abortion_group,abortion_score,NPC,ALowC,AHighC,MisC,NPO,ALowO,AHighO,MisO
99,R_3NE9swOoKgG7yHI,pro-choice,4.717820867959371,How long should you roast a chicken for?,Can a fetus survive on its own outside the womb 12 weeks after conception?,What states have outlawed abortion?,Does the risk of breast cancer increase after receiving an abortion?,Are there benefits of washing a chicken before cooking it?,Where are abortions illegal?,Is abortion against the Catholic religion?,Is it legal to sell fetuses?
100,R_2XonSEmH3d7flps,neutral,3.5705140043090178,How long to roast a chicken ,How long can a fetus survive outside of the womb?,How many states have outlawed abortion?,Does breast cancer increase after having an abortion ,Is washing chicken good,Docter who lost license for abortion in illegal state.,Catholic bishop stepped down because of views on abortion.,"Illegal sale of fetuses, planned parenthood"
101,R_2VQki6EWeztRbM2,neutral,3.5405971068020925,how to roast a chicken,Can a fetus survive on its own after 12 weeks?,states to outlaw abortion,Breast cancer abortion,Is washing chicken before you cook better?,Doctor performing illegal abortion,Catholic bishop forces to resign because of abortion,Planned parenthood selling fetuses
102,R_334myI1bwfJAAGa,pro-life,2.551615881809787,how long to roast chicken,can a fetus survive outside womb 12 weeks post conception,abortion state map,breast cancer linked with abortion,wash chicken before cooking,states where abortion is legal,catholics for abortion,Police
103,R_277sSchHO7JetHj,neutral,3.2180363188673438,how long should you roast a chicken,Can a fetus survive outside the womb at 12 weeks,how many states have outlawed abortion,does abortion increases risk of breast cancer,benfits of washing chicken before cooking,doctor loosing license due to abortion,catholic bishop step down because of abortion,Planned parenhood illeal fetus sale
104,R_3jSWiKHm0zEk2fT,pro-choice,3.891474299784549,How long should a chicken be cooked,After how many weeks is a fetus viable,How many states have outlawed abortion,Does abortions increase risk of breast cancer,Is washing chicken beneficial before cooking,Doctor loses license after abortion,Catholic Bishop forced to step down because of abortion,Planned parenthood illegal fetus sale
105,R_2c7yBjEzHCgQ239,pro-life,3.147368421052631,How long should a chicken be roasted?,How long can fetus survive on its own outside the womb?,All the states that outlawed abortion.,Does the risk of cancer increase after abortion?,What are the benefits of washing chicken before you cook it?,Can you lose a doctors license if you perform an abortion in a state that is illegal?,Catholic bishop who was forced to step down because of his position on abortion?,Is it illegal to sell fetuses by Planned Parenthood?
106,R_3fiQPjGmoaaK5Iw,pro-life,2.0416743613419515,how long to roast a chicken,when can a baby survive outside the womb,which states banned abortion ,risks of breast cancer after abortions,why wash chicken before cooking,doctor who lost license due to illegal abortions,bishop steps down due to stance on abortion,Planned Parenthood selling fetuses
107,R_4ZrHsKJmEWLvQkx,pro-choice,4.73961218836565,how long should you roast a chicken for,can a baby survive outside the stomach,how many states have banned abortion,does breast cancer risk rise after having an abortion,does washing chicken help before u cook it,doctored fired for giving abortion in red state,bishop forced to step down after abortion opinions,planned parenthood selling aborted fetuses
108,R_24uxOHTzxW5F4V3,pro-life,1.4327485380116955,"Cooked Chicken internal temperature, approximate cooking time,","Survival rates of babies, ""post conception abandonment""",listed number States illegal abortion laws,"google scholar: ""abortion rates"" ""breast cancer""","google scholar: processing chicken, washing chicken before you cook, why","Recent illegal abortion, state, doctor name fired, news","Father Bishop speaks for abortion, recent news, catholic",Planned Parenthood illegal sale of fetus news
109,R_2us8q6cFXaioCoc,neutral,3.5053862726992917,How long do you have to roast a chicken?,can a fetus survive 12 weeks out of the womb after conception,how many states have abortion outlawed,does breast cancer risk increase after abortion,benefits of washing chicken,doctor fired for illegal abortion,catholic bishop abortion,planned parenthood sale of fetuses
110,R_2s1MCFXvkZkL2y9,pro-choice,3.731548168667281,How long does it take to roast a chicken,How long can a fetus survive,Which states in America outlawed abortion,Does an abortion increase the risk of breast cancer,What are the benefits of washing chicken before cooking,A doctor that lost their license from giving an illegal abortion,Who is the Catholic bishop who had a position on abortion,Is the story about Planned Parenthood selling fetuses true
111,R_2VNNcmTyKM04diK,pro-choice,4.934502923976607,how long should you roast chicken,can a fetus live outside womb after conception,what states have banned abortion,is breast cancer risk from abortion real,should you wash chicken before cooking,doctor fired for abortions,catholic bishop resigns abortion,conspiracy theory illegal sale of fetuses planned parenthood
112,R_27vSsELGmC0b9yk,pro-choice,4.73961218836565,how to roast a chicken ,will a baby survive 12 weeks outside if the womb,how many states banned abortion,abortion increase risk of breast cancer ,should u wash chicken before u cook it,doctored fired and lost license for performing abortion,bishop steps down because of abortion opinion,planned parenthood sells aborted fetuses
113,R_3EnX32uyyahMRLo,pro-life,2.030594028931979,How long do you roast a chicken,Can a fetus survive on its own after 12 weeks,How many states have outlawed abortion,Does getting an abortion increase my chances of getting breast cancer,Should I wash my chicken,Doctor license revoke abortion,Catholic Bishop abortion stepdown,Fetus selling planned parenthood
114,R_2aJLDE7js269UuD,pro-choice,4.016189596799014,How long to roast chicken,How old does a fetus have to be to survive outside womb,How many states outlaw abortion,Does abortion increase chance of breast cancer,Why should I wash my chicken,Doctor gets fired for performing an abortion,Bishop gets fired for position on abortion,Illegal fetus sale planned parenthood
115,R_3eliqleqCezrpBw,pro-life,2.452016004924592,how long to roast a chicken,how early can a fetus survive on its own,states that outlawed abortion,Can you get breast cancer from an abortion,benefits of washing chicken before eating,Doctor gives illegal abortion,bishop forced to step down for abortion stance,why is planned parenthood selling fetuses
116,R_1IEmyS5LfGGBfPF,pro-choice,4.255894121268081,how long should I roast a chicken,can a fetus survive outside the womb 12 weeks after conception,how many states have outlawed abortion,does your risk of breast cancer increase after an abortion,is it better to wash your chicken before cooking,doctor looses license performing abortion in state where abortion is illegal,Catholic bishop forced to step down because of abortion views,illegal sale of fetuses recent
117,R_ukoNJaBR7QQdBXb,neutral,3.33573407202216,How long roast chicken,Can fetus live after 12 weeks?,States that outlawed abortion,Abortion breast cancer risk,Do I wash chicken?,doctor fired illegal abortion,Bishop leaving from abortion,Planned Parenthood illegal fetuses
118,R_1n8yjeEWppuC4zU,pro-life,2.7110495537088326,How long should I roast a chicken?,Can a fetus survive on its own outside the womb 12 weeks after conception?,How many states have outlawed abortion?,Does the risk of breast cancer increase after receiving an abortion?,What are the benefits of washing chicken before you cook it?,Doctor loses license and is fired for performing an abortion in an illegal state,Catholic bishop steps down because of his position on abortion,What is the Planned Parenthood illegal sale of fetuses?
119,R_2bTYOXmq386vAdv,pro-choice,3.858848876577408,How long should I roast a chicken? ,Can a fetus survive after 12 weeks outside of the womb? ,How many states have outlawed abortions?,Is breast cancer a risk after an abortion?,Should I wash my chicken?,Doctor looses license after illegal abortion,Bishop forced to step down,Selling of illegal fetuses from Planned Parenthood
120,R_2qaxPLeFLYyGHxe,neutral,3.579993844259771,How long should you roast chicken for?,Can a fetus survive outside the womb for 12 weeks after conception?,How many states have outlawed abortion in the U.S?,Does the risk of breast cancer increase after getting an abortion?,benefits of washing chicken before cooking,Doctor loses license for performing illegal abortion,Bishop steps down because of abortion beliefs,Planned Parenthood selling fetuses
121,R_33aqUYHX2PwjFaM,pro-life,2.656386580486303,how long should you roast a chicken,how long can fetus survive on its own outside of womb 12 weeks after conceptionafter,which states have outlawed abortion,"Does risk of breast ""c"" word increase after abortion",benefits of washing chicken before cooking it,Which doctors lost their licenses performing an abortion,Catholic Bishop step-down due to position on abortion,no
122,R_QaFBirtJKObyRGx,pro-life,2.6341028008618035,how long should you roast a chicken,earliest week a fetus is viable,states banned abortion,breast cancer abortion link,cdc washing chicken,doctor lost license abortion,bishop resigned abortion,planned parenthood selling fetuses
123,R_2OOu6xTAjJRvcez,pro-choice,4.73961218836565,how long to roast chicken,fetus survivability,How many states banned abortion,the risk of breast cancer increases after receiving an abortion,benefits of washing chicken before you cook it,Abortion doctor fired,catholic bishop,illegal sale of fetuses
124,R_RlD5Q9R2OsDhPfH,pro-choice,4.399322868574945,How long to roast a chicken,Can a fetus survive on it's own after 12 weeks outside the womb,How many states outlaws abortion,Does abortion increase the risk of breast cancer,Should you wash a chicken before cooking it,Doctor losing license over illegal abortion,Catholic bishop abortion stance,Planned Parenthood selling illegal fetuses
125,R_3R41WKNJ7Nu3yVP,pro-life,2.539181286549707,How long should you roast a chicken?,How long can a fetus survive outside the womb after conception?,How many states have outlawed abortion?,Does abortion affect the risk of breast cancer?,Benefits of washing chicken before you cook it,Doctor performs abortion in state where it is illegal,Catholic bishop steps down because of stance on abortion,Illegal sale of fetuses
126,R_2V2MKlBWirLgxfm,pro-choice,3.821421975992613,How long show I roast chicken?,Can a fetus survive on its own outside the womb 12 weeks after conception?,Number of states that have outlawed abortion,Does the risk of breast cancer increase after getting an abortion?,What are the benefits of washing chicken before cooking it?,Doctor loses license after getting fired for performing an abortion in a state where abortion were illegal,Catholic bishop forced to step down his position on abortion,Illegal sale of fetuses by Planned Parenthood Planned Parenthood?
127,R_2PAVVfI25JMhtQj,pro-choice,3.894059710680209,how long to roast chicken,fetal viability 12 weeks,where is abortion banned,abortion breast cancer,washing raw chicken,doctor fired illegal abortion,bishop resigned abortion,planned parenthood fetus sale
128,R_2BfFxjFbL6dwQm5,pro-choice,4.290981840566328,how long should you roast a chicken,when can a fetus survive outside the womb,how many states have outlawed abortions,are you more likely to have breast cancer after receiving an abortion,should you wash chicken before cooking it,doctor performing illegal abortion,catholic bishop fired for abortion position,planned parenthood selling fetuses
129,R_1f3klUcaSRtbhut,pro-choice,4.999999999999998,How long to roast chicken,Can a fetus survive outside the womb at 12 weeks,how many states outlawed abortion,Does abortion increase chance of breast cancer,should you wash chicken before cooking,doctor fired for abortion,Bishop steps down abortion,Is Planned Parenthood selling fetuses
130,R_1CdMzzweLfJPg0G,pro-choice,4.999999999999998,how long should I post chicken,12 week fetus,states abortion status,abortion increases breast cancer?,wash chicken before using,doctor abortion fired,catholic views on abortion,planned parenthood selling
131,R_1rDrmZ3cWIdaGE4,pro-life,2.44610649430594,how long should you roast a chicken,can a fetus survive on its own outside the womb 12 weeks after conception,number of states that have outlawed abortion,does the risk of breast cancer increase after receiving an abortion,benefits of washing chicken before you cook it,doctor got fired and lost his license after performing an abortion in a state where abortions are illegal,catholic bishop forced to step down because of his position on abortion,illegal sale of fetuses by planned parenthood
132,R_12kTFZYuVdzuPyC,pro-choice,4.755493998153276,How long do you roast a chicken?,Can a fetus survive outside of a womb at 12 weeks?,What states outlawed abortion?,breast cancer risk increase after abortions?,benefits of washing chicken,doctor loses license because of abortion,catholic bishop steps down,Planned Parenthood sale of fetuses
133,R_plstZtUiz6kNfPP,pro-choice,3.6783625730994154,How long would you roast a chicken ,Can a fetus survive on its own ,How many states have outlawed abortion,Does abortion increase risk of breast cancer,Why should I wash chicken before eating,Abortion laws in PA,Catholics stance on abortion,Is it legal for planned parenthood to sell a fetus
134,R_2TyIL0lOYCyDVZH,pro-choice,4.479224376731301,how long should i roast a chicken,can a fetus survive outside womb 12 weeks after conception?,states with outlawed abortion,risks of breast cancer after abortion,should i wash chicken before cooking,doctor performs illegal abortion,catholic bishop step down because of abortion position,sale of fetuses
135,R_2VrsAXVTNASrP9q,pro-life,2.822468451831332,how long do I roast a chicken?,can a fetus survive on its own outside the womb 12 weeks after conception?,how many numbers of states that have outlawed abortion?,does the risk of Breast cancer increase after receiving an abortion ,should I wash a chicken before cooking it?,doctor who lost license for preforming an abortion,Catholic bishop forced to step down,fetus sale by Planned Parenthood
136,R_1et3o4pp8mHCA7N,pro-choice,4.447953216374269,how long should you roast a chicken ,can fetus survive outside of body after 12 weeks ,how many states is abortion illegal ,after abortion does ur risk of abortion go up ,should you wash chicken before cooking,doctor loses license for illegal abortion,catholic bishop abortion,does planned parenthood sell fetuses
137,R_3qUKgsByqacafF2,neutral,3.211141889812249,How long should you roast a chicken,Can fetus survive outside the womb for 12 weeks,How many states have outlawed abortion,Does abortion increase the risk of breast cancer,Benefits of washing chicken before cooking it,Doctor who lost license after preforming an abortion,Catholic bishop who stepped down because of stance on abortion,Planned parenthood illegal sale of fetuses
138,R_2v8SsbHdv3tDo50,pro-choice,4.283964296706678,How long should I cook a chicken?,How old must a fetus be in order to survive outside of the womb?,In what states is abortion illegal?,Do abortions effect getting breast cancer?,Should you wash chicken before cooking?,What doctor lost their license due to an illegal abortion?,Catholic bishop with personal abortion beliefs,Illegal fetus sale by Planned Parenthood.
139,R_3QFQnGr10DbWNMO,pro-choice,4.695537088334871,how long should I roast a chicken,can a fetus survive outside the womb 12 weeks after conception,how many states have outlawed abortion,am i more likely to get breast cancer after getting an abortion,what are the benefits of washing a chicken before cooking it,what doctor lost their license for preforming an abortion in an illegal state,what is the catholic bishop's view on abortion,is plan parenthood selling illegal fetuses
140,R_30dhqBAxyU3HjHc,pro-choice,4.47873191751308,How long should you roast a chicken?,How long can a fetus survive outside of the womb?,Which states have outlawed abortion?,Does the risk of breast cancer increase after an abortion?,Why do you wash chicken before you cook?,Can doctors perform abortions in states where they are illegal?,Why did the Catholic Bishop have to step down?,How can you sell a fetus?
141,R_p6KFRxDfyckOqkh,pro-choice,3.74324407510003,how long should i roast a chicken,how long can a fetus survive out of the womb,states outlaw abortion,breast cancer and abortion,why wash chicken?,doctor fired for abortion,catholic bishop abortion,planned parenthood fetus sale
142,R_RqceEhkke7T6YzT,pro-life,1.4014773776546623,How long does it take to roast a chicken?,Can a fetus survive in 12 weeks of womb?,Why are some states outlawed abortion?,Does increase of breast cancer because of receiving an abortion?,What benefits you get for washing chicken before cooking?,How many years of prison time would doctor get performing an abortion in state that is illegal?,Why the Catholic bishop step down because of abortion?,Why are people illegal selling fetus by planned parenthood?
143,R_12JF1ZP8M1TFqfS,pro-life,2.6993536472760846,how long should you roast a chicken,when can a fetus survive outside the womb by itself,number of states where abortion is illegal,risk of breast cancer after abortion,Benefits of washing chicken before cooking,Doctor who performed illegal abortion,Catholic Bishop who stepped down due to stance on abortion,Planned Parenthood illegal fetus sales
144,R_27NkfjrlsgraB19,pro-life,3.1167128347183746,how long to roast a chicken,Can a fetus survive outside the womb 12 weeks after conception,number of state that outlawed abortion,Breast cancer risk with abortion,Benefits of washing chicken before cooking,Doctors loosing license for illegal abortion,Bishop forced to step down on abortion views,Planned Parenthood illegal fetus sales
145,R_2VlNiIJmDfEugre,pro-life,2.5399199753770385,how long do roast a chicken for,can a fetus survive on its own outside the womb 12 weeks after conception,number of states that outlawed abortion,does breast cancer increase after receiving an abortion,benifits of washing chicken before you eat it,doctor who got fired because he preformed abortion,information about a catholic bishop who steped down beacuse abortion.,illegal selling of fetuses by Planned Parenthood
146,R_3L5qGN3eX1wzLRl,pro-life,2.722868574946137,how long to roast chicken,can a fetus survive on its own outside womb after 12 weeks,states with abortion outlawed,breast cancer risk after abortion,should I wash chicken before cooking it,doctor fired for illegal abortion,catholic bishop abortion step down,planned parenthood fetus
147,R_3CVre5sGMnTBKCK,pro-life,2.6408741151123416,How long a chicken should be roasted,Can a fetus survive outside the womb?,How many states have outlawed abortion,Risk of breast cancer after abortion,Benefits of washing chicken,a doctor performs an abortion,A bishop's position on abortion,Selling of fetuses
148,R_WwUKB5TblvZUvkZ,neutral,3.3561711295783314,How long does it take to roast a chicken perfectly? ,How long can a fetus survive by itself after being outside the womb 12 weeks after conception? ,Number of states that have banned abortion.,Does the risk of breast cancer increase after receiving an abortion? ,Benefits of washing chicken?,Doctor's getting fired for performing abortion illegally?,Catholic bishop stepping down because of stance on abortion?,Illegal sale of fetuses by Planned Parenthood?
149,R_yBGPFKQALVxWUw1,neutral,3.4299168975069247,how long should you roast a chicken for ,can a fetus survive outside the womb for 12 weeks,how many states outlawed abortion,can you get breast cancer after getting an abortion,should you wash chicken before cooking it,doctor fired for preforming abortion,bishop fired because of abortion,illegal sales of fetuses
150,R_1FEUZgImbeitS0U,pro-choice,3.8120652508464135,How long should I roast a chicken?,Whether a fetus can survive on its own outside the womb 12 weeks after conception,Numbers of states have outlawed abortion,Breast cancer risk increase after receiving an sbortion,Washing chicken before cook,Performing abortion lost license,Catholic bishop forced to step down,Illegal sale of fetuses by Planned Parenthood
151,R_3KvEcesBwkX043F,neutral,3.3924899969221296,How long should you roast a chicken?,Can a fetus survive outside the fetus for 12 weeks after conception.,Number of states where abortions are outlawed,Does the risk of breast cancer increase after an abortion?,Washing Chicken Benefits,Doctor fired for illegal abortion,Catholic Bishop Abortion Step Down,Planned Parenthood Illegal sale of fetuses
152,R_1jPPZgGFDft2gaW,neutral,3.485318559556786,How long at what temp should I roast chicken? ,Can a 12 week old fetus survive outside of the womb?,How many states have abortion outlawed?,Do the chances of cancer increase after an abortion?,Are there benefits to washing chicken?,Doctor preforming an illegal abortion?,Forced step down of a bishop?,Planned parenthood Illegally selling fetuses
153,R_6tHF4wKFeK7CEyB,neutral,3.215820252385349,how long to roast chicken,can fetus survive outside the womb,state outlaw abortion,breast cancer abortion,benefit of washing chicken before cook,doctor lost license got fire because abortion,catholic bishop force to step down because abortion,planned parenthood sale of fetuses
154,R_1EaFS2SE7HA1mCs,pro-life,2.4385964912280693,how long should you roast a chicken,can a fetus survive after 12 weeks outside the womb,states that outlawed abortion,does the risk of breast cancer increase after getting an abortion,benefits of washing chicken before cooking,doctor who got fired for giving abortion,recent bishop's views on abortion,Planned Parenthood recent sale news
155,R_1prGNXCZKy028VK,pro-life,2.821114188981225,how long should you roast a chicken?,can a fetus survive on its own outside the womb 12 weeks after conception?,what states have outlawed abortion?,does getting an abortion increase the risk of breast cancer,are there benefits of washing chickens before you cook them?,doctor who lost license because of giving abortion in state where illegal,catholic bishop controversial position on abortion,illegal fetuses for sale
156,R_1OjyI1JcOvlZvrW,pro-choice,4.535364727608495,How long to roast a chicken,Can a fetus survive 12 weeks after conception,"States that have banned abortion Eight states—Alabama, Arizona, Arkansas, Michigan, Mississippi, Oklahoma, West Virginia and Wisconsin—still have pre-Roe abortion bans in their laws, which may be enforced too.  Abortion law in the United States by state - Wikipediahttps://en.wikipedia.org › wiki › Abortion_law_in_the_U... Search for: States that have banned abortion About featured snippets • Feedback  Abortion is now banned in these states. See where laws have ...https://www.washingtonpost.com › politics › 2022/06/24 Jun 24, 2022 — Thirteen states with “trigger bans,” designed to take effect if Roe were struck down, will prohibit abortion within 30 days of the ruling. At ... ‎Trigger laws · ‎Daniela Santamariña · ‎A decision to overturn Roe v... · ‎N. Kirkpatrick  26 States Are Certain or Likely to Ban Abortion Without Roehttps://www.guttmacher.org › article › 2021/10 › 26-sta... Oct 28, 2021 — States Certain to Ban Abortion ; Alabama—Pre-Roe ban, Near-total ban, State constitution bars protection ; Arizona—Pre-Roe ban ; Arkansas—Pre-Roe ...",Can abortions cause breast cancer,,,Bishop Steps Down,
157,R_3ozsE9wG2fgE0Sm,pro-choice,3.9809787626962136,Roasting chicken time,Can a fetus survive outside the womb after 12 weeks,States that have outlawed abortion,Breast Cancer and abortions,benefits of washing chicken,doctors fired for abortions,catholic bishop and abortions,illegal sale of fetuses
158,R_2OMTPplE6qjvCP7,pro-choice,4.3568482610033845,how long to roast a chicken,fetus survive on its own 12 weeks after conception,states that outlawed abortion,risk of breast cancer after abortion,benefits of washing chicken before eating,doctor got fired for performing illegal abortion,Catholic bishop step down abortion,planned parenthood fetus sale
159,R_25AYv5e23CDF5TS,pro-choice,3.9063711911357335,how long can you roast a chicken,fetus survival outside the womb 12 weeks after conception,number of states that have outlawed abortion,breast cancer risk after abortion,benefits of washing chicken before you cook it,doctor loses license for abortion,Catholic bishop steps down abortion,illegal fetus sale
160,R_2a8lJMxllzVrarY,pro-choice,4.0862419205909495,how long should i roast a chicken,how many weeks pregnant for a baby to survive,how many states is abortion illegal in,does abortion increase the risk of breast cancer,is there anyone don't wash meat before cooking,which states is abortion illegal,does catholic church support abortion,planned parenthood
161,R_3koFKkwe2d0nSJj,pro-choice,4.321391197291473,how long to roast chicken,how long can fetus survive outside womb,states that outlawed abortion,does abortion cause breast cancer,benefits of washing chicken before eating,doctor fired over abortion,Catholic Bishop Stepping Down,illegal fetus planned parenthood
162,R_1MQxNwXAnsLOvfH,pro-choice,4.774823022468451,How long should you roast a chicken?,Can a fetus survive on its own after 12 weeks,How many states have abortion bans?,Does the risk of breast cancer increase after abortion?,Should you wash chicken before cooking?,Doctor fired for performing abortion,Catholic bishop step down abortion,Planned Parenthood fetus sale
163,R_3MfmVsmbSRCNrT3,pro-choice,3.846783625730993,how long to roast a chicken?,Can a fetus survive outside the womb?,how many states have banned abortion ,does breast cancer risk increaese after  abortion,why do you need to wash chicken,Doctor fired for performing abortion,Catholic bishop forced to resign position,Planned Parenthood illegal selling
164,R_1H2bLPCZNcm1JIL,pro-life,3.0,how long to roast a chicken,how long can fetus survive outside womb,how many state outlawed abortion,does abortion increase chance of getting breast cancer,benefits of washing chicken,doctor fired for performing abortion,bishop stepped down because of position on abortion,selling fetuses of planned parenthood
165,R_3suZ0mHhNHbAEzN,pro-choice,4.527362265312402,Best time to roast a chicken for,Stages of a fetus and its growth,Why are so many states banning abortions?,Do abortions reduce the chance of getting breast cancer?,How to wash chicken when preparing it,Doctor fired over performing an abortion,Bishop steps down due to view on abortion,Planned parenthood lawsuits
166,R_1OJgyoQ9KV6Wi2N,pro-choice,4.166635887965527,how long should i roast a chicken,can a fetus survive on its own,where is abortion outlawed,does abortion increase breastcancer chance,should you wash chicken,doctor loses licence,Bishop steps down,illegal sale of fetuses by planned parenthood
167,R_211lEvMnqcjvGLv,pro-choice,4.44376731301939,how long should I roast a chicken ,can a fetus survive on its own 12 weeks after conception ,how many states have outlawed abortion ,does the risk of breast cancer increase after an abortion ,why should I wash my chicken,did docter so in so lose his license,was a bishop forced to step down due to stance on abortion,planned parenthood selling fetuses
168,R_2rYIrpWECP7n14l,pro-life,3.0,How long should I roast a chicken for,How long can a fetus survive on its own outside the womb,Number of states that outlawed abortion,Does the risk of breast cancer increase after an abotion,What are the benefits for asking chicken before cooking it,What doctor got his license taken away after illegal performing an abortion,Catholic bishop who had to step down because of his position on abortion,News about an illegal sale of fetuses by planned parenthood?
169,R_3q8QbHPmnvfCcRq,pro-life,3.091597414589104,How long does it take to roast a chicken,whether a fetus can survive on its own outside the womb 12 weeks after conception,how many states that have outlawed abortion,whether the risk of breast cancer increases after receiving an abortion,the benefits of washing chicken before cooking it,a doctor who lost their license and got fired for performing an abortion in a state where abortions were illegal,a Catholic bishop who was forced to step down because of his position on abortion,an illegal sale of fetuses by Planned Parenthood
170,R_UiGMXrg8rIrrwkh,pro-life,3.0,How long should i roast a chicken,How long can a fetus last outside the womb,How many states outlawed abortion,can abortion cause breast cancer,Should i wash my chicken before cooking,Doctor fired because abortion,Bishop stepping down because of abortion,Planned parenthood selling fetuses
171,R_1OIvZTkOgGWujLl,pro-life,3.0,How long you should roast a chicken?,Can a fetus survive on outside of womb after 12 week of conception?,How many states are outlawed abortion?,Does abortion increase the risk of breast cancer?,What are benefits of washing chicken?,Why is the punishment so severe?,Who is that Catholic bishop?,Is it legal to sell baby?
172,R_3mmHl1AZo3og4xd,pro-life,3.0,how long should I use to roast a chicken,can a fetus survive on its own outside the womb 12 weeks after conception?,how many states have outlawed abortion,will the risk of breast cancer increase after receiving an abortion?,is washing chicken before cooking it beneficial?,the doctor lost his license and got fired for performing abortion,the Catholic bishop forced to step down because of his position and abortion,Planned Parenthood illegal sale
173,R_3KHhEObj0OYs40I,pro-choice,4.356602031394274,How long does it take to roast a chicken,Can a fetus survive on its own 12 weeks after conception,How many states have outlawed abortion,Does the risk of breast cancer increase after an abortion,Why do I need to wash chicken before cooking it,Doctors license revoked and fired for preforming illegal abortion,Catholic bishop forced to step down because of abortion stance,Illegal sales of fetuses by planned parenthood
174,R_Y9wtZMzHf5Fv0KB,pro-choice,4.999999999999998,Time roast a chicken ,A fetus survive outside the womb,States abortion ,Cancer increase after abortion ,Benefits of washing chicken,Doctor lose license abortion,Catholic step down abortion,Illegal sale of fetuses by Planned Parenthood
175,R_1mzrmUP28x1vkXc,pro-choice,3.739919975377039,How to roast chicken,fetus survival outside womb,abortion by state,does abortion cause breast cancer,Should I wash chicken,doctor fired over abortion,Bishop abortion,fetus sale
176,R_3m37LGohFihNtIE,neutral,3.4195752539242834,How long should you bake a chicken,can a fetus survive on its own outside the womb 12 weeks after conception,how many states have outlawed abortion,Will the risk of breast cancer increases after receiving an abortion,why should you wash chicken before cooking,In what state abortions were illegal,who was the Catholic bishop forced to step down because of his position on abortion,What is illegal sale of fetuses by Planned Parenthood
177,R_3oC2H3zgUW5tQ3T,pro-choice,4.370267774699907,how long to cook chicken ,when can a fetus survive outside of womb ,abortion laws by state ,risks of abortion ,washing chicken benefits,the name of the doctor,catholic forced to step down,planned parenthood fetus sale
178,R_3HhKPFweqs68RzM,pro-choice,4.779378270236995,how long should I roast a chicken,can a fetus can survive on its own outside the womb 12 weeks after conception,How many states have outlawed abortion,Does the risk of breast cancer increase after receiving an abortion,Is there a benifit to washing chicken before cooking it,doctor who lost their license and got fired for performing an abortion in a state where abortions were illegal,Catholic bishop stepping down due to abortion position,illegal sale of fetuses by Planned Parenthood
179,R_3sibuleVht9Cqy7,pro-choice,4.012742382271468,How long to roast a chicken,Can fetus survive on its own outside the womb 12 weeks after conception?,States outlawed abortion,Will the risk of breast cancer increases after receiving an abortion?,Benefits of washing chicken before cook it.,A doctor perform abortion in a state where abortions were illegal,Catholic bishop forced to step down,Illegal sale of fetuses by Planned Parenthood
180,R_3lyjWh62WxJZ5Pq,pro-choice,4.389719913819636,When is a chicken fully cooked?,Pro choice donations ,what states have outlawed abostion?,could you get Breast cancer after an abortion? ,How long does chicken need to defrost?,Who was the doctor who preformed an abortion illegally?,what does the catholic church say about abortion?,How to help support planned arenthood
181,R_2azyX8MPjm0zPZo,pro-choice,4.335426285010772,how long to roast chicken,fetus survival outside womb after conception,states that banned abortion,risk of breast cancer after abotion,benefits of washing chicken,medical license revoked abortion,catholic bishop abortion,planned parenthood fetus trafficking
182,R_3D7TpRWm9XP5tUT,pro-choice,4.7211449676823625,time to get a roast chicken,can fetus survive on its own outside the womb 12 weeks after conception?,number of state have outlawed abortion,will risk of breast cancer increase after receiving abortion?,should chicken be wash before cook?,should doctor lost license because they support abortion,why does Catholic bishop who was forced to step down because of his position on abortion?,what happen when they said the event of illegal sale of fetuses by Planned Parenthood
183,R_3rRhfjY6SbhFUvT,neutral,3.5991997537703906,How long roast chicken,Fetus survive on its own outside the womb 12 weeks after conception,Number of states that have outlawes abortion,The risk of breast cancer increases after receiving an abortion,Benefits of washing chicken before cook,Doctor Lose license  about abortion,Bishop abortion,Illegal of fetuses
184,R_3dMao0ePErU6zwo,pro-choice,3.983441058787319,Best times to roast a chicken,birth rates of fetuses outside the womb,how many US states have banned abortion in 2022,Does receiving an abortion cause an increased risk of breast cancer?,benefits of washing chicken before you cook it,can doctors lose their job and license for performing an abortion?,Can you lose power in your job for you views on abortion?,Planned parenthoods illegal sale of fetuses
185,R_1g0XxLbyw7kLTzu,pro-life,2.787873191751307,how long should I roast a chicken for,can how after conception can a fetus survive outside the womb,how many states have outlawed abortion,am i more likely to get breast cancer after an abortion,should i wash a chicken before i cook it,doctor who got fired for preforming an abortion,catholic bishop steps down because of abortion beliefs,does planned parenthood sell illegal fetuses
186,R_27iZrqri912MXHK,pro-choice,4.454970760233917,how long should a roast a chicken,Can A fetus survive on its own outside of the womb 12 weeks after conception,how many states have banned abortion,does breast cancer risk increase after abortion,should i wash chicken before cooking,doctor fired for illegal abortion,catholic bishop forced to step down abortion,Illegal sale fetus planned parenthood
187,R_bK7iOlD5yYODV0R,neutral,3.1969836872883954,how long should you roast a chicken ,how long can a fetus last outside the womb,how many states have outlawed abortion,does breast cancer chances increase after an abortion,should you wash chicken before cooking it,doctor loses license over performing illegal abortion,Catholic Bishop forced to step down abortion,does planned parenthood sell illegal fetuses
188,R_TwjmbYKpCJEwoKt,pro-choice,4.079839950754077,time to roast a chicken,How long can a fetus survive outside the womb,Abortion banned states,breast cancer increase after abortion,does washing chicken help,doctor lost license due to abortion,Catholic bishop abortion,planned parenthood fetus selling
